threshold,floor,temperature,group,label,source_all_mae,adapter_all_mae,all_delta,source_affected_mae,adapter_affected_mae,affected_delta,source_unaffected_mae,adapter_unaffected_mae,unaffected_delta
0.5,0.5,0.25,severity_mid,1.557 < severity <= 2.578,0.6626365016545114,0.6616100476169833,-0.0010264540375281017,0.9590187214722444,0.9576675927507816,-0.0013511287214628132,0.5258342516781376,0.5249576736861297,-0.0008765779920079098
0.5,0.5,0.25,severity_high,severity > 2.578,0.8370981774744759,0.8364488321990924,-0.0006493452753835172,1.2894421377452492,1.2895048121867667,6.267444151752954e-05,0.5373077252176639,0.5361864885596597,-0.0011212366580042321
0.5,0.5,0.25,recovery_short_lt30,recovery < 30 min,0.606863957265779,0.6063602337549817,-0.0005037235107973048,0.9364992472874594,0.935895024470211,-0.0006042228172483677,0.5056042168623659,0.5051313721184865,-0.0004728447438794303
0.5,0.5,0.25,recovery_mid_30_90,30 <= recovery < 90 min,0.6708174255904502,0.6695641533428155,-0.001253272247634718,1.0286134657059498,1.0263726183018882,-0.0022408474040616078,0.5214138842779185,0.5205730096162751,-0.0008408746616433982
0.5,0.5,0.25,recovery_long_ge90,recovery >= 90 min,0.7936325467333487,0.7928475275163492,-0.0007850192169994719,1.1938029610874101,1.1935720132151149,-0.00023094787229527292,0.5407746472278139,0.5396395095101,-0.0011351377177138966
0.5,0.5,0.25,severity_high_and_long,severity high and recovery >= 90 min,0.8410932702309449,0.8404609601816829,-0.0006323100492620082,1.2770558114403372,1.2772145472962662,0.00015873585592895978,0.5417594313546809,0.5405840135008718,-0.0011754178538090354
0.7,0.1,0.25,overall,all test events,0.7092097441986353,0.7086389546829961,-0.0005707895156391585,1.1046952400734757,1.104281520428717,-0.00041371964475866996,0.5236560658487773,0.5230115863253622,-0.0006444795234151757
0.7,0.1,0.25,severity_low,severity <= 1.557,0.5708375628559612,0.5704458918409958,-0.00039167101496540013,0.8361752164416952,0.8354583476947491,-0.0007168687469460977,0.5049174934959788,0.5046066225345353,-0.00031087096144355453
0.7,0.1,0.25,severity_mid,1.557 < severity <= 2.578,0.6626365016545114,0.661828506377948,-0.0008079952765633891,0.9590187214722444,0.9579303907433743,-0.0010883307288701571,0.5258342516781376,0.5251556581174782,-0.0006785935606593574
0.7,0.1,0.25,severity_high,severity > 2.578,0.8370981774744759,0.8366192901436988,-0.0004788873307770558,1.2894421377452492,1.2895867646567265,0.0001446269114773191,0.5373077252176639,0.5364156022913982,-0.000892122926265726
0.7,0.1,0.25,recovery_short_lt30,recovery < 30 min,0.606863957265779,0.6064719005071755,-0.00039205675860354283,0.9364992472874594,0.9360137579611215,-0.00048548932633785125,0.5056042168623659,0.5052408666304233,-0.0003633502319425608
0.7,0.1,0.25,recovery_mid_30_90,30 <= recovery < 90 min,0.6708174255904502,0.6698173132342009,-0.0010001123562493053,1.0286134657059498,1.0267441300918794,-0.0018693356140704331,0.5214138842779185,0.5207767463653789,-0.0006371379125396093
0.7,0.1,0.25,recovery_long_ge90,recovery >= 90 min,0.7936325467333487,0.7930386271803602,-0.0005939195529884866,1.1938029610874101,1.193698377700969,-0.00010458338644103726,0.5407746472278139,0.539871518967778,-0.0009031282600359125
0.7,0.1,0.25,severity_high_and_long,severity high and recovery >= 90 min,0.8410932702309449,0.8406314223759894,-0.0004618478549555105,1.2770558114403372,1.277289904099938,0.00023409265960072645,0.5417594313546809,0.5408197647253565,-0.0009396666293243205
0.7,0.25,0.25,overall,all test events,0.7092097441986353,0.708580355820755,-0.0006293883778802911,1.1046952400734757,1.1042229762440732,-0.00047226382940257494,0.5236560658487773,0.5229529618095157,-0.0007031040392616594
0.7,0.25,0.25,severity_low,severity <= 1.557,0.5708375628559612,0.5704140554381524,-0.0004235074178088327,0.8361752164416952,0.8354159178950413,-0.0007592985466539082,0.5049174934959788,0.5045774182695698,-0.0003400752264089979
0.7,0.25,0.25,severity_mid,1.557 < severity <= 2.578,0.6626365016545114,0.6617587389587514,-0.0008777626957600093,0.9590187214722444,0.95784533350271,-0.0011733879695344784,0.5258342516781376,0.5250929452429919,-0.0007413064351456944
0.7,0.25,0.25,severity_high,severity > 2.578,0.8370981774744759,0.8365534334069571,-0.0005447440675188098,1.2894421377452492,1.2895413288245183,9.919107926914528e-05,0.5373077252176639,0.5363362166477794,-0.0009715085698844828
0.7,0.25,0.25,recovery_short_lt30,recovery < 30 min,0.606863957265779,0.606436589599414,-0.00042736766636497503,0.9364992472874594,0.9359761196987368,-0.0005231275887225273,0.5056042168623659,0.5052062804183803,-0.00039793644398555816
0.7,0.25,0.25,recovery_mid_30_90,30 <= recovery < 90 min,0.6708174255904502,0.6697382051542345,-0.0010792204362156665,1.0286134657059498,1.0266291781185777,-0.0019842875873721244,0.5214138842779185,0.5207126062368805,-0.0007012780410379227
0.7,0.25,0.25,recovery_long_ge90,recovery >= 90 min,0.7936325467333487,0.7929681471468233,-0.0006643995865254215,1.1938029610874101,1.1936412990209455,-0.00016166206646461845,0.5407746472278139,0.5397925535647065,-0.0009820936631074195
0.7,0.25,0.25,severity_high_and_long,severity high and recovery >= 90 min,0.8410932702309449,0.8405642790133022,-0.0005289912176427158,1.2770558114403372,1.2772448433314094,0.00018903189107222218,0.5417594313546809,0.5407374555595916,-0.001021975795089225
0.7,0.5,0.25,overall,all test events,0.7092097441986353,0.7085020208049442,-0.0007077233936910732,1.1046952400734757,1.1041498957499754,-0.0005453443235003963,0.5236560658487773,0.5228721571362775,-0.0007839087124997812
0.7,0.5,0.25,severity_low,severity <= 1.557,0.5708375628559612,0.5703665624967746,-0.0004710003591865686,0.8361752164416952,0.8353504031546732,-0.0008248132870219971,0.5049174934959788,0.5045344037943794,-0.0003830897015993928
0.7,0.5,0.25,severity_mid,1.557 < severity <= 2.578,0.6626365016545114,0.6616566805302382,-0.0009798211242731947,0.9590187214722444,0.957719635168256,-0.0012990863039884504,0.5258342516781376,0.5250018063122329,-0.0008324453659046549
0.7,0.5,0.25,severity_high,severity > 2.578,0.8370981774744759,0.8364761076459796,-0.00062206982849633,1.2894421377452492,1.2895019548097741,5.9817064524958496e-05,0.5373077252176639,0.5362337250107121,-0.0010740002069518084
0.7,0.5,0.25,recovery_short_lt30,recovery < 30 min,0.606863957265779,0.6063844875315195,-0.0004794697342594967,0.9364992472874594,0.9359197867093099,-0.0005794605781495044,0.5056042168623659,0.5051554637492878,-0.0004487531130781264
0.7,0.5,0.25,recovery_mid_30_90,30 <= recovery < 90 min,0.6708174255904502,0.6696180719657407,-0.001199353624709465,1.0286134657059498,1.0264504453567984,-0.00216302034915139,0.5214138842779185,0.5206169396109308,-0.0007969446669876534
0.7,0.5,0.25,recovery_long_ge90,recovery >= 90 min,0.7936325467333487,0.7928811056927132,-0.0007514410406355143,1.1938029610874101,1.1935809228834127,-0.00022203820399746554,0.5407746472278139,0.5396886538226116,-0.0010859934052023235
0.7,0.5,0.25,severity_high_and_long,severity high and recovery >= 90 min,0.8410932702309449,0.8404874218950742,-0.00060584833587074,1.2770558114403372,1.2772086598300365,0.00015284838969931158,0.5417594313546809,0.5406326723876093,-0.001126758967071595
